"","Description","Central and Southern Asia","Eastern and South-Eastern Asia","Europe and Northern America","Latin America and Caribbean","Northern Africa Western Asia","Oceania","Sub-Saharan Africa","Global^"
"1","Number of women vaccinated 
(millions)","34.8","29.4","11.9","10.2","9.37","0.601","33","129"
"2","Vaccine programme costs 
(discounted; $ millions)","177 
(167, 195)","529 
(508, 559)","654 
(627, 693)","184 
(179, 189)","143 
(140, 147)","26.1 
(24.4, 28.5)","155 
(151, 161)","1,870 
(1,830, 1,920)"
"3","Acute healthcare costs 
(discounted; $ millions)","-9.85 
(-21.3, -4.48)","-61.8 
(-146, -28.3)","-158 
(-348, -61.1)","-23.1 
(-50, -11.4)","-31.5 
(-63.4, -15)","-4.16 
(-9.44, -1.66)","-18.5 
(-40.4, -8.51)","-321 
(-575, -168)"
"4","Long-term healthcare costs 
(discounted; $ millions)","-3.6 
(-14.4, -0.697)","-22.6 
(-94.5, -4.42)","-33.3 
(-116, -7.18)","-8.77 
(-34.6, -1.75)","-11.3 
(-41.8, -2.36)","-0.933 
(-3.18, -0.204)","-6.44 
(-25, -1.31)","-93.4 
(-280, -22.8)"
"5","Total incremental costs 
(discounted; $ millions)","163 
(141, 183)","443 
(309, 501)","462 
(210, 586)","151 
(103, 169)","99.4 
(44.5, 123)","20.9 
(14.1, 24.7)","130 
(93.2, 145)","1,450 
(1,080, 1,660)"
"6","EOGBS cases 
(thousands)","-34.2 
(-64.9, -17.6)","-35.5 
(-72.2, -16.9)","-3.43 
(-6.04, -1.61)","-9.97 
(-18.9, -5.22)","-21.7 
(-43.9, -10.3)","-0.483 
(-1, -0.235)","-63.5 
(-131, -30.1)","-169 
(-332, -83.9)"
"7","LOGBS cases 
(thousands)","-17.1 
(-49.5, -4.41)","-17.6 
(-53, -4.47)","-2.03 
(-4.27, -0.855)","-6.58 
(-22.7, -2.16)","-15.6 
(-39.6, -6.33)","-0.315 
(-1.63, -0.0991)","-54.8 
(-153, -21)","-118 
(-286, -50.9)"
"8","Moderate & severe NDI cases 
(thousands)","-4.37 
(-12.8, -1.4)","-4.48 
(-13.7, -1.4)","-0.262 
(-0.581, -0.0992)","-1.46 
(-4.44, -0.468)","-3.17 
(-9.16, -1.08)","-0.0625 
(-0.261, -0.0208)","-10 
(-29.1, -3.31)","-24.2 
(-67.1, -8.51)"
"9","GBS deaths 
(thousands)","-6.34 
(-14.4, -2.69)","-6.48 
(-15.6, -2.69)","-0.341 
(-0.677, -0.151)","-2.18 
(-5.3, -0.892)","-5.72 
(-12.9, -2.47)","-0.0967 
(-0.393, -0.0274)","-20.3 
(-48.2, -8.45)","-42.3 
(-90.7, -19.4)"
"10","GBS stillbirths 
(thousands)","-10.6 
(-36.8, -2.6)","-3.62 
(-12.6, -0.917)","-0.597 
(-1.5, -0.209)","-1.46 
(-9.13, -0.242)","-1.71 
(-4.14, -0.746)","-0.0744 
(-0.392, -0.0195)","-14.1 
(-28.1, -6.24)","-33 
(-80.3, -14.4)"
"11","QALYs from averted GBS disease 
(discounted; thousands)","224 
(98.7, 519)","235 
(101, 569)","12.7 
(5.71, 25.1)","78 
(34, 190)","197 
(88.5, 449)","3.4 
(1.17, 12.4)","648 
(280, 1,530)","1,430 
(658, 3,110)"
"12","QALYs from averted stillbirths 
(discounted; thousands)","288 
(71.3, 1,010)","101 
(25.4, 351)","16.7 
(5.95, 42.5)","40.6 
(6.68, 255)","47.5 
(20.8, 114)","2.01 
(0.538, 10.4)","369 
(164, 734)","888 
(386, 2,180)"
"13","QALYs from averted GBS disease 
(undiscounted; thousands)","533 
(235, 1,230)","592 
(256, 1,440)","33.1 
(14.8, 65.1)","196 
(85.4, 477)","490 
(221, 1,110)","7.99 
(2.81, 28.7)","1,430 
(617, 3,360)","3,340 
(1,550, 7,270)"
"14","QALYs from averted stillbirths 
(undiscounted; thousands)","685 
(169, 2,390)","252 
(63.6, 877)","43.4 
(15.4, 110)","102 
(16.8, 642)","117 
(51.3, 279)","4.78 
(1.32, 24)","810 
(360, 1,610)","2,070 
(894, 5,160)"
