"","Description","High income","Low income","Lower middle income","Upper middle income","Global^"
"1","Number of women vaccinated 
(millions)","12.3","11.2","40.4","35.9","99.8"
"2","Vaccine programme costs 
(discounted; $ millions)","796 
(769, 836)","43.8 
(42.9, 45.2)","182 
(174, 195)","653 
(635, 678)","1,680 
(1,640, 1,720)"
"3","Acute healthcare costs 
(discounted; $ millions)","-179 
(-380, -77.4)","-2.65 
(-6.16, -1.21)","-19.5 
(-41.5, -9.22)","-85.8 
(-185, -40.8)","-298 
(-534, -153)"
"4","Long-term healthcare costs 
(discounted; $ millions)","-41.6 
(-132, -9.26)","-0.926 
(-3.65, -0.188)","-6.87 
(-26.7, -1.39)","-31.8 
(-119, -6.45)","-86.1 
(-247, -20.6)"
"5","Total incremental costs 
(discounted; $ millions)","574 
(313, 707)","40.2 
(34.6, 42.8)","155 
(119, 175)","533 
(374, 605)","1,290 
(950, 1,490)"
"6","EOGBS cases 
(thousands)","-4.64 
(-7.59, -2.44)","-22.1 
(-46.9, -10.3)","-56 
(-110, -27.6)","-43.8 
(-85.7, -21.6)","-127 
(-248, -63.3)"
"7","LOGBS cases 
(thousands)","-2.66 
(-5.45, -1.22)","-18.4 
(-51.2, -7.09)","-40.4 
(-99.9, -17.2)","-24.9 
(-65.1, -9.39)","-87.3 
(-209, -38.1)"
"8","Moderate & severe NDI cases 
(thousands)","-0.458 
(-0.971, -0.203)","-3.43 
(-10, -1.12)","-8.17 
(-22.8, -2.84)","-5.82 
(-16.7, -2)","-17.9 
(-49.9, -6.38)"
"9","GBS deaths 
(thousands)","-0.625 
(-1.12, -0.323)","-6.77 
(-16.1, -2.81)","-14.7 
(-31.9, -6.7)","-8.79 
(-19.5, -4.04)","-31.1 
(-66.4, -14.4)"
"10","GBS stillbirths 
(thousands)","-0.617 
(-1.47, -0.244)","-4.94 
(-9.61, -2.25)","-12.6 
(-32.2, -5.3)","-4.7 
(-15.8, -1.64)","-23 
(-56.4, -10)"
"11","GBS associated preterm births* 
(thousands)","-35.7 
(-77.4, -2.6)","-20.9 
(-46.2, -1.63)","-74.6 
(-165, -5.31)","-54 
(-119, -3.98)","-185 
(-407, -13.5)"
"12","QALYs from averted GBS disease 
(discounted; thousands)","23.2 
(11.9, 41.3)","218 
(93.4, 519)","491 
(224, 1,070)","316 
(145, 700)","1,060 
(488, 2,290)"
"13","QALYs from averted stillbirths 
(discounted; thousands)","17.4 
(6.93, 41.6)","130 
(59.5, 254)","337 
(142, 869)","130 
(44.9, 439)","620 
(268, 1,550)"
"14","QALYs from averted preterm births* 
(discounted; thousands)","67.5 
(5.09, 173)","37.1 
(2.72, 97.2)","136 
(9.81, 345)","101 
(7.19, 262)","342 
(25.2, 868)"
"15","QALYs from averted GBS disease 
(undiscounted; thousands)","60.4 
(31.2, 108)","486 
(208, 1,150)","1,140 
(519, 2,480)","791 
(363, 1,760)","2,500 
(1,150, 5,410)"
"16","QALYs from averted stillbirths 
(undiscounted; thousands)","46 
(18.2, 110)","290 
(133, 568)","779 
(328, 2,030)","326 
(112, 1,110)","1,450 
(628, 3,670)"
"17","QALYs from averted preterm births* 
(undiscounted; thousands)","178 
(13.4, 456)","83.2 
(6.09, 218)","319 
(23.1, 807)","252 
(18, 655)","834 
(61.7, 2,110)"
